Lower layer Super Output Areas Code,Workday Population Density (per square kilometre)
E01000011,14623.8
E01000046,9311.9
E01000051,13318.3
E01000077,8475.3
E01000083,8176.8
E01032580,11344.8
E01034472,30021.1
E01000006,9420.2
E01000009,13573.1
E01000022,8760.7
E01000074,8855.1
E01000084,7780
E01000089,9319.6
E01000097,8973.2
E01000113,10545.8
E01034470,9342.5
E01034473,16749.5
E01034477,11068.1
E01000012,13689.5
E01000017,8301.8
E01000024,8771.4
E01000038,5941.1
E01000040,9953.1
E01000041,8899.1
E01000043,5427.9
E01000050,11692.1
E01000058,8699.2
E01000076,9580.5
E01000081,8084
E01000082,9147.5
E01000085,8885.1
E01000086,8237
E01000025,9491.5
E01000028,10312.9
E01000033,8086.7
E01000042,6388.4
E01000052,9544.3
E01000055,8774
E01000063,7847.7
E01000078,9112.6
E01034474,12891.6
E01000016,7469.8
E01000018,8539.4
E01000044,9296.6
E01000049,7828.5
E01000066,9501.8
E01000067,8851.9
E01000101,8169.6
E01000108,6208.2
E01000110,6685.5
E01000021,8553.8
E01000037,5942.6
E01000054,8966.1
E01000059,6695.4
E01034471,13873.6
E01000007,13855
E01000008,10563
E01000057,8578.2
E01000062,7523.7
E01000064,9066.1
E01000065,9058.2
E01000099,8057.4
E01000104,6762
E01000106,8354.6
E01000114,8579.2
E01000019,7822.1
E01000053,7866.2
E01000100,7763.6
E01033587,9777
E01034469,5882.6
E01034479,10111.8
E01000020,9562
E01000069,8344.1
E01000075,3181.3
E01000088,8427.6
E01000091,7104
E01000102,5858.4
E01000013,8517.8
E01000015,6721.3
E01000068,4983.8
E01000045,5246.4
E01000056,6309.5
E01000071,8640.1
E01000079,4492.9
E01000105,9547.3
E01000035,5696.3
E01000073,5414.6
E01000087,3896.9
E01000098,9053.6
E01000032,5320.9
E01000072,3366
E01000080,6990.9
E01000093,6215.1
E01000111,7296
E01000112,7073.9
E01000014,3842.3
E01000029,5539.1
E01000070,4895.4
E01000061,3207.2
E01000103,1997.7
E01000036,3491.8
E01000107,2977.6
E01000096,3389.8
E01000030,7304.5
E01034475,3889.2
E01034476,4166.2
E01000031,2021.6
E01000094,3750.2
E01000060,4280.8
E01000034,3282.7
E01000027,1322.5
E01000039,922.4
E01000090,1912.1
E01034478,1135.2
E01000095,2284.7
E01033917,59571.9
E01033918,18753.5
E01033919,17993.1
E01033921,33500
E01000133,8586.1
E01000181,12325.4
E01000185,9684.5
E01000189,13370.4
E01000226,7543.4
E01000306,9938.6
E01000312,9904.5
E01033916,10272.8
E01033922,22847.4
E01033923,14685.2
E01000126,10953.6
E01000134,10075.3
E01000137,12187
E01000145,7276.7
E01000151,12341.8
E01000154,13986.6
E01000165,7683.6
E01000217,7022.4
E01000219,9173.6
E01000236,7406.3
E01033913,14486
E01000140,12181.1
E01000143,8086
E01000147,7899.2
E01000182,7696.2
E01000216,9323.1
E01000224,9021.8
E01000238,8550.5
E01000242,5222.4
E01000277,7832.4
E01000295,7257.6
E01000297,5687.8
E01000299,15054.5
E01000300,8703.2
E01000304,6965.1
E01000317,8370.5
E01000319,7673
E01033915,7587.7
E01000130,8901.9
E01000163,7471.3
E01000179,11429.6
E01000215,8656.3
E01000220,13059.4
E01000269,4572.9
E01000293,5632.3
E01033920,7078.9
E01000120,5259.1
E01000127,5977.1
E01000157,10071.5
E01000180,8172.2
E01000225,5112.7
E01000245,11849.8
E01000286,5401.2
E01000309,5935.2
E01000311,4593.1
E01000314,7768
E01000321,11319.2
E01000117,4622.6
E01000132,7856.7
E01000144,9187.3
E01000153,9084.8
E01000174,10865.2
E01000202,6584.1
E01000265,8012.3
E01000320,6832.4
E01000324,6249.1
E01033912,6666.7
E01033914,9375
E01000124,7430.6
E01000142,10370.9
E01000150,6126.5
E01000156,10083.3
E01000162,9275.9
E01000169,5543
E01000176,6660.6
E01000190,5817.9
E01000197,5639
E01000205,3709.3
E01000227,6047.7
E01000251,9771.3
E01000291,5328.5
E01000292,5776.3
E01000191,5371.6
E01000218,11924.9
E01000252,6032.4
E01000267,4644
E01000289,4687.1
E01033924,11866.1
E01000115,4478.1
E01000122,5252
E01000128,6722
E01000131,4763.5
E01000152,11238.5
E01000158,5240.4
E01000170,5915.7
E01000177,9680.5
E01000263,3382.5
E01000281,9067.6
E01000287,4786.1
E01000294,16058.6
E01000313,8061.4
E01000138,5334.6
E01000146,10953.5
E01000168,3998.1
E01000171,7048
E01000183,6696.9
E01000187,7158.1
E01000192,8193.7
E01000195,5685.3
E01000196,12172.5
E01000285,6105.9
E01000298,6985
E01000315,3186.9
E01000323,11610.6
E01000116,6325.4
E01000214,4687.6
E01000231,3906.8
E01000235,5353.5
E01000243,11595
E01000270,5146.8
E01000302,10525.6
E01000322,7986.3
E01000200,6093.5
E01000203,5758.3
E01000229,4692.6
E01000232,5244.6
E01000247,5380
E01000271,4378.8
E01000303,5944.6
E01000318,6790.3
E01000136,2793.5
E01000141,5588.2
E01000159,3087.4
E01000160,6681
E01000173,4049.8
E01000201,3644
E01000204,5225.9
E01000237,7201.8
E01000278,4780.2
E01000296,9141.7
E01000316,5976.9
E01000161,8074.2
E01000166,3676
E01000194,6711.8
E01000199,4182.2
E01000208,3784.7
E01000209,3557.5
E01000248,7367.1
E01000284,6822.5
E01000301,4802.1
E01000139,3632.5
E01000167,2404.5
E01000186,5994.5
E01000198,5894.3
E01000222,3968.8
E01000223,3955.9
E01000234,5827
E01000274,6021.7
E01000121,3448.5
E01000123,3375.7
E01000164,3496.6
E01000178,3981.3
E01000184,2260.9
E01000193,7259
E01000210,2994.2
E01000213,3010.8
E01000239,5040.9
E01000240,3207.6
E01000288,3997
E01000119,4222.4
E01000212,3533.6
E01000230,6314.4
E01000233,7015.5
E01000241,4630.6
E01000268,7630.7
E01000273,5564.7
E01000283,3691.4
E01000307,7047.7
E01000129,9319
E01000135,5195
E01000175,3286.7
E01000211,10251.6
E01000221,4327.7
E01000244,6632.4
E01000272,2781.1
E01000275,4696.5
E01000172,3030.5
E01000207,4816.8
E01000257,3442.1
E01000308,3098.9
E01033925,5930.4
E01000118,6033
E01000264,5775
E01000266,1944.6
E01000310,6948.8
E01000250,6029.9
E01000276,2591.7
E01000280,1154.4
E01000249,2070.4
E01000282,2941.2
E01000256,3123.3
E01000260,2522.4
E01000261,1882.4
E01000305,2430.7
E01000259,1846.4
E01000206,1407.8
E01000255,1588
E01000228,557.2
E01000258,2482.1
E01000188,505.5
E01000246,1202.2
E01000254,1000.1
E01000253,556.2
E01000290,664.7
E01033911,894.2
E01000279,281.6
E01000373,10775.3
E01000411,6014.6
E01000438,7629.7
E01000452,6635.3
E01000456,6516.6
E01000464,8273.7
E01033789,6418.5
E01000426,5976.6
E01033790,5115.1
E01000368,5660.2
E01000396,5057.1
E01000401,6383.8
E01000431,6785
E01000347,6687
E01000357,5580.4
E01000370,4550.2
E01000419,4607.5
E01000423,4654
E01000453,5554
E01000463,4175.5
E01000326,3962.7
E01000366,6526.7
E01000409,5854.3
E01000410,5475.2
E01000415,5063.4
E01000416,7537.9
E01000435,6672.4
E01000454,7043.4
E01000455,5308
E01000337,4819.8
E01000341,5432.1
E01000422,9740.9
E01000446,4576.9
E01000342,5123.4
E01000355,3010
E01000371,5239.7
E01000393,6028.2
E01000395,3813.8
E01000436,5330.2
E01000437,3889.5
E01000439,5888.2
E01000441,8123.1
E01000450,6064.6
E01000459,5482.1
E01000467,8013.9
E01000325,3485.8
E01000345,4997.6
E01000348,4117.2
E01000364,3015.2
E01000369,5753.5
E01000413,5329.4
E01000440,4633.8
E01000443,4006.6
E01000451,6548.2
E01000333,6355.8
E01000354,5623.2
E01000372,5669.4
E01000384,4839.9
E01000392,9986.4
E01000404,11232.5
E01000424,4149.4
E01000465,5534.8
E01000469,3458.9
E01000336,8915.9
E01000380,6175.4
E01000394,6742.6
E01000425,4652.5
E01000458,4160.8
E01000470,3331.5
E01000327,3477.9
E01000332,4766.4
E01000340,5374
E01000343,4726.1
E01000349,4155.4
E01000356,4935.4
E01000379,4050
E01000398,5164.7
E01000402,4059
E01000414,7517.8
E01000427,4407.1
E01032566,2601.2
E01000334,4807.5
E01000358,5246.2
E01000365,5607
E01000367,6805.5
E01000391,2882
E01000412,5613.3
E01000420,4699.5
E01000449,2947.9
E01000330,8922
E01000353,3996.4
E01000362,7030.9
E01000421,4246.1
E01000442,4209.5
E01000461,2720.4
E01000339,5288.1
E01000360,7045.7
E01000387,4071.5
E01000388,2986.8
E01000399,4471.5
E01000429,4644.5
E01000433,5372.8
E01033791,6454.2
E01000338,7944.6
E01000351,4120.3
E01000375,4566.6
E01000406,4191.7
E01000407,4351.4
E01000418,2826.4
E01000460,2396.8
E01000329,3955.5
E01000344,6032.7
E01000382,2491
E01000457,9677.5
E01000346,3735.6
E01000352,4931.7
E01000359,5152.3
E01000389,3494.7
E01000390,2019.5
E01000400,4861.7
E01000350,4708.7
E01000361,4626.7
E01000385,5425.2
E01000331,2529
E01000363,3788.8
E01000448,2700.3
E01000468,7768.1
E01000417,1913.1
E01000328,2876.9
E01000386,3266.3
E01000428,3778.7
E01000374,3295.7
E01000377,2980.3
E01000405,6920.3
E01000444,1003.1
E01000462,7274.3
E01000403,4774.5
E01000445,2474.6
E01000376,2634.1
E01000408,3288.8
E01000434,907.8
E01000335,2511
E01000430,1443.7
E01000447,2384.3
E01033792,2350.7
E01000381,775.1
E01000466,1438.4
E01000383,486.7
E01000471,7936.7
E01000509,8781.8
E01000522,11487.1
E01000532,12229.8
E01000546,15642.1
E01000547,17519.8
E01000549,13204
E01000552,14775.6
E01000556,18364
E01000559,10140.2
E01000561,13271.2
E01000584,10493.2
E01000585,12430.3
E01000599,16974.9
E01000603,9470.7
E01000611,11015.4
E01000616,7955.5
E01000637,16300.4
E01033485,9972.3
E01033936,21242.1
E01033939,11695.4
E01033940,24390.5
E01033941,33644.6
E01000505,9226.8
E01000508,11328.7
E01000523,14164.3
E01000531,14526
E01000544,20235.8
E01000545,15461.6
E01000548,18001.8
E01000551,16956.8
E01000553,11997.2
E01000570,8695.7
E01000572,5406.4
E01000579,11578
E01000593,9120.6
E01000629,8296
E01033455,19001.6
E01033929,12858.9
E01033933,12067.6
E01033937,10474
E01000483,6805.5
E01000513,8421.7
E01000517,6769.8
E01000526,14196.1
E01000550,13120.2
E01000557,12992.3
E01000558,7313
E01000560,6190.9
E01000567,5521.6
E01000574,5748.6
E01000581,9132
E01000592,7419.2
E01000602,8926.2
E01000606,5762.2
E01000607,9449.5
E01000619,6708.9
E01000639,13509.3
E01000642,13978.6
E01000644,12914
E01033457,8484.2
E01033934,9865
E01033935,10201.8
E01000490,11226.3
E01000493,7377.1
E01000504,9869.1
E01000514,8330.1
E01000520,5916.8
E01000521,13120.6
E01000530,8657.6
E01000555,6099.6
E01000594,6927.5
E01000595,8145.8
E01000612,5916.4
E01000613,6153.5
E01000617,6395.9
E01000632,7366.6
E01000640,18021.1
E01033930,7966.5
E01000488,8153.8
E01000492,6586.6
E01000512,9389
E01000528,12545
E01000541,5331.7
E01000569,3211.3
E01000573,5804
E01000583,12022.5
E01000636,9718.4
E01000641,15139.1
E01000485,8198.2
E01000494,7062
E01000507,5532
E01000510,9568.2
E01000525,10474.1
E01000527,12863.9
E01000534,8905.5
E01000554,7711.1
E01000604,8016.6
E01000605,8455.7
E01000634,11860.2
E01000511,9329
E01000533,11402.6
E01000566,5838.1
E01000580,5895.8
E01000582,9100.8
E01000621,7025.8
E01000623,7794
E01000627,8033.5
E01000474,7566.2
E01000495,7911.6
E01000501,10018.7
E01000516,9800.8
E01000524,13568.3
E01000535,9021.3
E01000565,6580.5
E01000571,4350.3
E01000626,6297
E01000476,7619.9
E01000497,8824.1
E01000498,5418.1
E01000506,6668.9
E01000577,7471.8
E01000609,5834
E01000618,6695.9
E01000628,4431.2
E01000633,13719.7
E01033931,10674.5
E01033932,8690
E01000478,10609.1
E01000479,4597.3
E01000480,4508.2
E01000503,4208.2
E01000515,4445.3
E01000631,9782.4
E01033942,11305.4
E01000472,6321.6
E01000484,5797.2
E01000502,4742.3
E01000536,5327.6
E01000562,3786.8
E01000578,7572
E01000587,7963.6
E01033456,8379.9
E01000564,7479
E01000568,12293.6
E01000590,7276.1
E01000625,5254.1
E01000630,8127.2
E01000473,13120.3
E01000543,7437.6
E01000596,8703.9
E01000610,5822.3
E01000620,3471.5
E01000624,5665.5
E01000491,5065.9
E01000638,6119.8
E01000475,6976.3
E01000477,7987.5
E01000489,5320.8
E01000540,3203.7
E01000586,16238.3
E01000589,8101.8
E01000591,6970.5
E01000538,3770.7
E01000539,4595.6
E01000575,7090.4
E01000576,5140
E01000615,7529.3
E01000481,5644.7
E01000519,2441
E01000563,3433.8
E01000601,4913.8
E01000608,3996.8
E01000622,2514
E01000643,4179.2
E01000487,5718.5
E01000486,1825.6
E01000499,5232.1
E01033463,6457.9
E01000518,3688.5
E01033938,6996
E01000701,9088.2
E01000702,8482.7
E01000705,7253.6
E01000746,9679.2
E01000796,11885.1
E01034386,19735
E01000669,8441.1
E01000699,8775.7
E01000741,10830.3
E01000744,5848.9
E01034384,12931.9
E01000781,7443.3
E01000798,9556.2
E01000805,8886.1
E01032562,5662.8
E01000707,9064.3
E01000795,4086.8
E01000801,7311
E01000806,9422.1
E01000674,8207.5
E01000700,6282.4
E01000778,6448.6
E01000784,5620.5
E01000785,6295.8
E01000789,10146.5
E01000709,5976.2
E01000780,6011.4
E01000825,9080.1
E01000834,5332.1
E01000672,4455.7
E01000679,6234.3
E01000682,4915.6
E01000691,5200.7
E01000703,7501
E01000726,3824.9
E01000768,2869
E01000802,8514.3
E01000822,6624.6
E01000824,8195
E01000833,3346.3
E01032568,5186.3
E01000762,4639.2
E01000803,5268.2
E01000708,6204.7
E01000739,6013.4
E01000774,3892.3
E01000783,6569.6
E01000811,3948.4
E01000721,5015
E01000782,4797.2
E01000827,4194.5
E01000829,6756.4
E01000836,5260.7
E01032563,3292.4
E01000673,2944.5
E01000677,6105.9
E01000729,6607.8
E01000742,6401.8
E01000773,4207
E01000777,5759
E01000810,3644.9
E01000816,4079.2
E01000823,6079.3
E01000647,5986.5
E01000690,3794.3
E01000704,3912.8
E01000712,4468.2
E01000799,9518.7
E01000808,4027.6
E01000812,3725.6
E01000651,5591.9
E01000683,7488.5
E01000706,3823.4
E01000718,4742.5
E01000733,3869.4
E01000764,3162.8
E01000787,3540.4
E01000657,4483.1
E01000678,5929.1
E01000724,3111.5
E01000835,6948
E01000648,5071.2
E01000687,2919.6
E01000692,5296.5
E01000711,5978
E01000715,5386.9
E01000719,6381.1
E01000727,4312.1
E01000734,3452.7
E01000750,3972.3
E01000758,4135.1
E01000767,4470.4
E01000794,3225.6
E01000839,4210.9
E01000663,4397.1
E01000670,4128.1
E01000716,3994
E01000722,4464.7
E01000766,4099.6
E01000792,4420.5
E01000797,2825.8
E01000841,4743.8
E01032570,3936.3
E01000681,4504.9
E01000717,4751.1
E01000735,2728.5
E01000736,3178.8
E01000737,3126
E01000771,5388.6
E01000793,2839.4
E01000655,2716.8
E01000713,4234.1
E01000714,8890.9
E01000754,4076.4
E01000755,4065.9
E01000760,3298.4
E01000814,2824.2
E01000819,4385.2
E01034383,1902.6
E01034385,5353.1
E01000662,3048.1
E01000686,3610.6
E01000723,2340.9
E01000730,4967.8
E01000731,4544.3
E01000732,3387
E01000743,5925.8
E01000800,6858.5
E01000838,2683.3
E01000653,3156.6
E01000659,2134.7
E01000671,6611.3
E01000725,4305.9
E01000745,4015.8
E01000772,4340.6
E01000828,4229.6
E01000831,3914.2
E01000646,5085.3
E01000649,2109.8
E01000676,13741.7
E01000694,2134.3
E01000698,920.8
E01000738,3644.5
E01000769,2045.9
E01000804,3137.3
E01000809,2457.6
E01000815,2645.1
E01000820,2887.7
E01000830,2415.4
E01000684,4362.1
E01000757,2929.8
E01000791,3193.8
E01000837,3078.5
E01000840,1680.7
E01000652,3019.9
E01000688,1267.5
E01000756,2178
E01000761,2150.5
E01000788,3762.2
E01000790,8269
E01000813,2807
E01000826,2708.7
E01000661,3153.5
E01000697,3070.4
E01000710,3916.7
E01000763,1521
E01000779,1407.8
E01000832,1642.6
E01000645,2001.5
E01000667,1346.3
E01000668,3195.1
E01000689,1090.8
E01000752,1116.6
E01000770,2450.1
E01000775,2332.4
E01000650,1764.3
E01000654,951
E01000665,2225
E01000695,1844.6
E01000786,1408.1
E01000664,1875.8
E01000685,1310.6
E01000753,1876.4
E01000818,1022.8
E01000728,856.7
E01000751,3400.9
E01000807,2681.7
E01000658,876.2
E01000693,803.7
E01000656,405.9
E01000666,619
E01000696,967.1
E01000765,1059.6
E01000749,176.2
E01000759,298.2
E01000680,233.4
E01000720,217
E01000747,198.1
E01000748,182.2
E01000843,12869.1
E01000846,15707.4
E01000847,14660.6
E01000849,18159.6
E01000853,29025.6
E01000857,15985.2
E01000867,19196.5
E01000868,16992.8
E01000869,15257.6
E01000882,14315
E01000886,12054.3
E01000887,15475.5
E01000890,14927.9
E01000891,18750
E01000901,16540.6
E01000904,17613.7
E01000905,18885
E01000906,9767.4
E01000919,26112.6
E01000923,15035.1
E01000926,15302.4
E01000927,15228.6
E01000929,18167.9
E01000932,22798.8
E01000934,15465
E01000935,21127.2
E01000939,22407.6
E01000941,25806.5
E01000942,37547.9
E01000943,28214.3
E01000944,23636.4
E01000949,20192.9
E01000951,26597.5
E01000954,28630.6
E01000955,21502.3
E01000957,10548.4
E01000959,20601.1
E01000961,13361.2
E01000964,11687.8
E01000968,15503.7
E01000969,12356.1
E01000970,19404.1
E01000971,14844.3
E01000842,12264.5
E01000848,14895.9
E01000859,17871.9
E01000870,11862.7
E01000873,12270.5
E01000874,16479.5
E01000875,10657.6
E01000876,14041.1
E01000877,13411.8
E01000888,14488.3
E01000892,12893.2
E01000900,15839.2
E01000902,16920.3
E01000903,12639.8
E01000907,12033.6
E01000911,14222.5
E01000915,95830
E01000920,25598.2
E01000924,14028.5
E01000930,19698.8
E01000938,21477.4
E01000952,18517.2
E01000966,10947.6
E01000974,12987.8
E01035712,20392.7
E01000844,14820
E01000845,13830.5
E01000861,17649.1
E01000862,15076.5
E01000866,13477.7
E01000880,6686.3
E01000895,21794.1
E01000898,52662.8
E01000910,10783.4
E01000916,34053
E01000917,28894.8
E01000925,17596.6
E01000933,16119.3
E01000937,11409.2
E01000956,23885.4
E01000960,17718.1
E01000962,15751.6
E01000965,14641.9
E01000972,16174.2
E01000863,20545.6
E01000872,10176.9
E01000889,13640.2
E01000918,27861
E01000931,15166.6
E01035709,8488.1
E01000860,5296.1
E01000878,8329
E01000896,10469.9
E01000851,24824
E01000879,9960.5
E01000883,14484
E01000884,5650.8
E01000947,19083.3
E01000856,16891.3
E01000881,11082.5
E01000897,9429.3
E01000908,8051.4
E01000963,15194.6
E01000921,17170.4
E01035707,11837.1
E01000948,7544.5
E01000958,19038
E01000967,4087.6
E01000850,24518.4
E01000858,9550
E01000885,4326.5
E01000909,6378
E01000922,16787
E01000973,12370.4
E01000893,2447.9
E01000928,9706.9
E01035708,15941
E01035710,15153.4
E01000894,6561.5
E01000871,5692.4
E01000855,14020.6
E01000914,21035.5
E01000912,2104.9
E01035711,46314.6
E01000946,9697.6
E01000899,1630.6
E01000913,1785.3
E01000996,9724.3
E01000997,11607.1
E01000999,10112.8
E01001000,9726
E01001001,9201.6
E01001002,11102.8
E01001004,10873.5
E01001012,13538.9
E01001144,11921.8
E01001151,8322.3
E01001179,11039.3
E01034140,22265.1
E01034141,15827.8
E01034145,13666.7
E01034147,94020.6
E01034151,29188.6
E01000982,9802.8
E01000984,10185.6
E01000987,6845.4
E01000995,10843.8
E01000998,8530.3
E01001005,14345
E01001052,6854.1
E01001116,8638.4
E01001131,7333.7
E01001141,6603.4
E01001182,9246.7
E01034142,10538.7
E01034148,27577.3
E01000978,8524.2
E01000980,8936.5
E01000983,9430.2
E01000990,7238.1
E01000993,9002.4
E01000994,7158.3
E01001007,9758.1
E01001066,6957.1
E01001111,8365.9
E01001130,10065.2
E01001136,7039.4
E01001139,7424.1
E01001148,9345.5
E01001153,8856.3
E01001158,5798
E01001161,4912.6
E01001164,11694.9
E01001185,6941.8
E01001187,9128.1
E01001193,7196.4
E01034143,15086.7
E01000977,9277.9
E01000981,8426.9
E01001040,8600.1
E01001088,8157.9
E01001146,8801.2
E01001149,9000
E01001155,13613.6
E01001163,5970.9
E01001175,8872
E01034139,12549
E01034152,13050
E01000976,11412
E01001003,7477.6
E01001011,15625.5
E01001025,4809.3
E01001035,7549.2
E01001037,9424.9
E01001046,8076.5
E01001047,8558.9
E01001054,6149.6
E01001056,9109.7
E01001147,7730.2
E01001152,10232.4
E01001181,13123.3
E01001189,8100.1
E01000989,5267.2
E01001057,9673.7
E01001059,5913.3
E01001086,6039.9
E01001090,10391.9
E01001100,5152
E01001154,9426.8
E01001160,5099.7
E01001165,8283.5
E01001183,11954.1
E01001184,5060.9
E01001191,11833.2
E01001192,6575.1
E01034150,17587.8
E01001034,5546.6
E01001042,10618.4
E01001077,5530.5
E01001110,11467.5
E01001126,4863.5
E01000986,4726.3
E01001006,5926.1
E01001009,13374
E01001026,5470.9
E01001127,3915.7
E01001145,12104.5
E01001170,7047.4
E01001177,5156.3
E01000979,11054.2
E01001050,9167.2
E01001051,5103.6
E01001089,9961.8
E01001091,3983.7
E01001114,7938.4
E01001118,10758.5
E01001133,3335.8
E01001140,4033.6
E01001166,10148
E01001168,6775.2
E01001174,5967.7
E01001178,33795
E01001180,10072
E01001190,4849.3
E01001041,7285.9
E01001053,5484.8
E01001085,8515.7
E01001128,5752.1
E01001143,6723.3
E01001188,8420.2
E01032569,4693.3
E01001013,11971.8
E01001030,2912.7
E01001033,4988.3
E01001099,6226.4
E01001113,9051.7
E01001142,5441.4
E01000975,12353.6
E01001024,4283.2
E01001044,4916.2
E01001058,5185.6
E01001063,4339.1
E01001109,6045
E01001112,5230.5
E01001162,5326.3
E01001186,8711.8
E01034144,5415.4
E01001125,5302.6
E01001150,4739.1
E01034146,10157.8
E01001029,3282.7
E01001055,4120.7
E01001073,3859.7
E01001083,4264.9
E01001084,2948.8
E01001115,6911.5
E01001120,3526
E01001124,2299
E01001129,3856.7
E01001138,5390.5
E01001156,5291.6
E01001169,6583.2
E01001008,7072.9
E01001078,3206.7
E01001080,5860
E01001096,3205
E01034149,11645
E01000985,3396.3
E01001039,2887.8
E01001095,5537.5
E01001106,2895.6
E01001134,4079.2
E01001176,6492.3
E01001032,2198.3
E01001079,5293.9
E01001119,1703.9
E01001172,5716.5
E01001031,2952.5
E01001038,7649.4
E01001076,4927.2
E01001087,6841.4
E01001171,6869.1
E01000992,3502.2
E01001023,5201.1
E01001132,3214.4
E01001135,3724.5
E01001137,5301.4
E01000991,3106.2
E01001020,4297.2
E01001069,3092.1
E01001074,4288.5
E01001098,2609.7
E01001101,2138.9
E01001157,4775.7
E01001194,2600.9
E01001075,3506.4
E01001092,3534.4
E01001108,2801.5
E01001036,1945.7
E01001071,2258.9
E01001082,2349.3
E01001093,4069.6
E01001159,4073.9
E01001167,4031.6
E01001019,2154.4
E01001022,1368.4
E01001028,1989.9
E01001081,3025.2
E01001097,7326.5
E01001015,3198.6
E01001016,2366.6
E01001049,891.3
E01001061,3088.6
E01001062,1610.9
E01001070,2875
E01001102,2443.9
E01001105,1389.4
E01001123,1921.2
E01001173,2522.1
E01001010,5153.7
E01001018,1559.5
E01001067,2237.6
E01001068,2013.8
E01001094,1271.6
E01001107,2102.3
E01001122,1225
E01001017,1012.6
E01001103,2142.9
E01001021,530.7
E01001027,1747.5
E01001065,1086.1
E01001104,966.7
E01001060,846.2
E01001072,627.6
E01001121,493.7
E01001064,470.6
E01001199,12483.5
E01001203,15950.1
E01001245,16775.1
E01001287,14240.8
E01001319,7898.5
E01001332,8935.9
E01001383,12169.4
E01032743,18463.9
E01034026,19922.3
E01034029,17905.2
E01034031,38927.4
E01001200,9903.9
E01001207,9780.6
E01001216,9675.4
E01001219,10289.7
E01001223,6034
E01001230,8652
E01001249,16709.5
E01001288,8617.7
E01001292,6550.4
E01001293,9574.8
E01001303,10161.8
E01001304,11434.7
E01001315,6741.6
E01001340,17789.6
E01001346,7133.5
E01001352,9044.3
E01001355,12276.1
E01001356,15746.7
E01001363,11367.3
E01001364,11727
E01001366,10005.9
E01001369,11612.3
E01001372,15388.8
E01001373,12086
