Lower layer Super Output Areas Code,Workday Population Density (per square kilometre)
E01001379,11584.1
E01001380,11361
E01001198,11316.3
E01001206,9893.2
E01001211,8256.5
E01001215,11822.9
E01001233,8804.9
E01001236,9151.2
E01001251,9320.1
E01001255,7700.1
E01001305,9747.8
E01001334,8622.6
E01001374,12642.5
E01001376,8977.5
E01001385,9856.4
E01001331,9824.4
E01001295,8056.3
E01034028,10964.5
E01001201,10212.1
E01001202,16107.7
E01001204,8171
E01001217,7037
E01001224,6597
E01001229,5871.4
E01001232,5880.4
E01001242,6155.3
E01001243,9053.2
E01001257,10503.6
E01001279,5106.8
E01001296,6852.1
E01001298,9794.8
E01001299,7189.8
E01001306,9765.6
E01001345,7360.6
E01001357,19371.1
E01001360,10989.3
E01001368,10295.3
E01001384,13764.9
E01001389,13713.3
E01001253,11457.4
E01001254,7401
E01001260,5893.3
E01001282,8602.8
E01001300,10821.2
E01001342,8130.6
E01001316,7574.6
E01001312,7423.1
E01001310,6733.8
E01001212,5735.8
E01001213,9894.1
E01001269,6270.6
E01001274,5475.6
E01001286,6555.9
E01001289,8636.4
E01001297,6014.4
E01001313,7377.2
E01001358,11114.1
E01001359,17088
E01001388,7849.5
E01001210,6959.8
E01001227,7501.4
E01001237,5728.8
E01001240,7891
E01001252,12626.4
E01001270,8039.1
E01001317,5263.5
E01001333,8178.2
E01001362,9877
E01001367,12763
E01001382,6352.9
E01032744,8913.5
E01001214,5678
E01001226,7350.5
E01001228,8003
E01001259,4936.8
E01001265,5213.5
E01001276,9145.4
E01001291,7773.1
E01001311,5572.5
E01001318,5925.3
E01001336,5649.4
E01001343,6070.1
E01001353,7009.2
E01001231,4385.3
E01001235,6432.2
E01001244,10831.8
E01001281,5290.2
E01001350,4190.4
E01001371,9446.9
E01001195,3591.6
E01001205,6965.9
E01001323,5438.7
E01001375,11314.1
E01001377,8210.9
E01001381,9243.2
E01001209,5951.6
E01001218,5883
E01001225,9188.4
E01001234,3905.2
E01001250,7271.6
E01001258,7083.7
E01001264,4619.4
E01001283,6669.2
E01001285,7101.3
E01001324,3919.1
E01001354,7622.9
E01001387,8731.1
E01001262,5391.4
E01001302,4603.7
E01001361,8344.1
E01001386,6573.7
E01034030,14153.4
E01001196,6339.4
E01001263,4859.8
E01001268,5324.3
E01001307,3152.8
E01001314,3991.8
E01001320,2633.2
E01001335,3219.2
E01001271,7186.7
E01001275,4399.9
E01001294,5710.4
E01001321,5677.2
E01001261,7016.5
E01001278,4209.4
E01001301,7798.6
E01001328,3817.5
E01001329,5230.2
E01001341,8516.6
E01001351,13139.2
E01001197,4434.2
E01001290,3365.6
E01001327,5512.4
E01001330,4846.7
E01001365,4158.2
E01001370,5499.6
E01001248,2869.1
E01001280,4463
E01034027,8649.7
E01001273,4353.3
E01001309,4732.1
E01032572,6775.1
E01001239,5573.2
E01001246,4116.8
E01001266,4294.3
E01001272,5464.7
E01001348,3468.6
E01001208,2525
E01001241,4324.6
E01001267,5095.1
E01001284,2968.9
E01001322,4154.1
E01001349,1768.1
E01001344,4765.1
E01001277,4638.6
E01001308,1382.9
E01001347,4189.5
E01001325,1705.7
E01001326,2672.6
E01001338,6336.4
E01001339,4692.2
E01001247,5088.5
E01001220,1527.7
E01001337,3828.5
E01001424,13760.4
E01001442,12927.9
E01001460,15277.3
E01001462,11384.1
E01001562,12449.1
E01001557,10209.8
E01001554,13123.4
E01001515,14061.8
E01001495,10356.7
E01001467,14354.8
E01001466,15769.2
E01033146,8367.1
E01001391,11290.6
E01001430,14554.8
E01001448,10858.2
E01001459,6685.1
E01001464,5706.5
E01001476,7004.4
E01001482,9218.1
E01001487,12895.8
E01001503,8990.6
E01001517,9807.2
E01001522,8635.5
E01001555,12916.4
E01001497,5610.2
E01001566,8131.9
E01001541,8358.1
E01001514,10445.9
E01001509,9457.8
E01001508,11002.4
E01001492,9902.3
E01001491,10776
E01001488,11674.3
E01001479,6975.9
E01001447,8478
E01001446,8301.1
E01001435,7307.9
E01001396,8656.3
E01001401,7722
E01001428,8607.8
E01001431,10279.8
E01001432,10339
E01001458,9435.2
E01001485,11893.8
E01001486,9595.6
E01001512,12067.2
E01001530,6759.3
E01001537,6975.3
E01001542,7943.6
E01001547,7314
E01001558,15627.1
E01001408,9704.7
E01001480,7151.5
E01001489,9786.8
E01001493,6668.1
E01001494,7157.8
E01001529,8587.7
E01001567,4632.3
E01001565,6140.7
E01001550,6452.5
E01001540,7558.9
E01001505,9023.1
E01001504,10357.9
E01001502,6783
E01001475,4238.7
E01001461,5257.5
E01001455,4962.2
E01001441,5162.3
E01001436,7836.3
E01001423,8106.4
E01001392,9207.7
E01001409,8675.1
E01001410,11131.4
E01001434,6730.9
E01001438,4907.8
E01001444,7065.1
E01001449,5541.4
E01001456,4682.7
E01001472,5702.3
E01001539,7007.3
E01001546,5901.1
E01001393,8763.2
E01001398,6247.1
E01001411,9913.9
E01001481,8086.1
E01001528,7080.5
E01001551,5566.8
E01001564,7518.4
E01032574,20024.7
E01001390,9967.4
E01001394,9918.8
E01001426,4790.8
E01001457,6812.4
E01001469,6239.4
E01001525,7195.9
E01001552,6481.3
E01001570,4805.7
E01001402,5018.5
E01001405,6018.1
E01001414,3275.9
E01001416,4354
E01001429,13907.1
E01001498,11453.3
E01001524,5618.9
E01001526,4616.5
E01001538,4994.1
E01001556,6147.5
E01001560,5270.5
E01001563,8365
E01033150,8752.3
E01033928,8332.2
E01001395,5237.7
E01001397,5757.8
E01001421,7634.3
E01001440,4949.1
E01001465,6640.4
E01001500,7119.3
E01001544,7605.5
E01001406,7937.3
E01001425,4676.8
E01001463,5053.5
E01001499,5743.8
E01001501,7417.5
E01001516,6632.1
E01001543,6061.5
E01001399,5191.6
E01001420,4584
E01001433,5660.9
E01001496,5852.4
E01001507,10418.1
E01001531,5188.6
E01001548,4998.3
E01001553,7137.2
E01001478,4567.2
E01001484,5306.6
E01001511,6870.8
E01001533,4433.6
E01001534,3904.3
E01001549,6122.7
E01001418,2824.6
E01001439,9895.2
E01001536,5935.8
E01001545,4259.6
E01001400,5644
E01001404,2453.1
E01001403,3887.1
E01001468,4493.9
E01001569,6735.7
E01033927,14635.8
E01001520,5394.2
E01001450,8674.5
E01001471,4558.9
E01001413,2768.2
E01001454,4032
E01001474,4050.3
E01001532,5504
E01001535,3188.1
E01033148,3940.1
E01001452,1858.8
E01001559,3459.1
E01001523,3287.9
E01001521,3444.2
E01001527,4362
E01001568,1726.1
E01001419,2852.9
E01001451,2654.9
E01001453,2693.7
E01001483,2047.6
E01001518,2879.9
E01001422,1014.1
E01001473,2047.2
E01001513,3891.6
E01033151,2414.8
E01001415,2189.5
E01001445,2675.2
E01001427,2778.2
E01001477,2588.5
E01033926,1791.2
E01001407,1477
E01001470,728.7
E01001437,2348.1
E01001417,309.4
E01001412,204
E01001704,10300.4
E01001695,10919.1
E01001692,15006.7
E01001636,12538
E01001573,8769.9
E01034178,62995.8
E01034180,23538.8
E01034181,26895.6
E01034184,32786.5
E01034186,27843.6
E01034191,28263.5
E01034194,42442.7
E01034195,55906.7
E01001590,8990.4
E01001631,11223.4
E01001632,14136.2
E01001638,13963.1
E01001683,10579.9
E01001690,9002.9
E01001696,23787.2
E01001698,12571.9
E01001702,13596.7
E01001710,14976.7
E01033727,16117.1
E01033728,20381.6
E01033732,8958.3
E01033744,9625.1
E01034179,23071.4
E01034187,12888
E01001693,9024.9
E01001664,12721.4
E01001624,6145.3
E01033734,13753.8
E01033735,16685.9
E01034177,8188.6
E01034183,16982.4
E01034189,5813.4
E01034193,12119
E01001703,19400
E01001697,13353.1
E01001671,6954.5
E01001650,7271.9
E01001634,12377.3
E01001633,14244.8
E01001629,8204.4
E01001620,5209.1
E01001603,7138.8
E01001583,4823
E01001579,6045.1
E01001576,7310.4
E01001575,6992.7
E01033742,7798.2
E01033746,10960.6
E01001572,7963.2
E01001705,10767
E01001700,14047.5
E01001677,9551.1
E01001676,10334.9
E01001675,12749.5
E01001600,4514.9
E01001593,9013.5
E01001589,7853.8
E01001594,12325.1
E01001623,5283.7
E01001635,5915.6
E01001637,7485.2
E01001649,4208.8
E01001654,4392
E01001665,8605.2
E01001694,3537.5
E01033736,14488.5
E01034182,14790.4
E01034185,13866.7
E01001582,3899.4
E01001591,9241.8
E01001674,7914.1
E01001708,7521.2
E01033739,11329.8
E01034173,7729
E01034174,4606
E01001578,7075.1
E01001606,6717.3
E01001610,6622.9
E01001653,4757.6
E01001686,8063.6
E01033738,8307.4
E01001571,9020.9
E01001584,5233
E01001597,4269
E01001619,5387.7
E01001646,10596.6
E01001652,5803.9
E01001656,4275.4
E01001658,3304.2
E01001679,5774.6
E01001687,5250.2
E01001712,9691.8
E01033740,7352.2
E01034175,4837.5
E01034176,7049.2
E01001621,3955.8
E01001678,6256.7
E01001681,7577.5
E01001581,7040.2
E01001587,6915.8
E01001607,6641.4
E01001666,7221.1
E01001577,7404.1
E01001585,7661.8
E01001598,2893.4
E01001611,7165.6
E01001644,12596.9
E01001647,3520.9
E01001657,3538.6
E01001660,3723.5
E01001661,3657.1
E01032567,2967.5
E01034190,6173.7
E01034192,12770.9
E01001586,6147.7
E01001592,7110
E01001595,5439.3
E01001596,4870.2
E01001601,5856.1
E01001608,2927.7
E01001645,5351.7
E01001648,3175.7
E01001672,4236.5
E01001580,5860
E01001625,5468.8
E01001651,4832.3
E01001680,2028.6
E01001685,6868.8
E01034196,7204.8
E01001602,6566.8
E01001609,6692.4
E01033741,7350.1
E01001614,1726.3
E01001618,4524
E01001673,13106
E01001699,2586.2
E01033745,4133
E01001604,6521.9
E01033737,9961.8
E01001641,8484.1
E01033729,3422.6
E01001588,2897.2
E01001599,3436.8
E01001655,3483.7
E01001659,4654.3
E01001669,3997.2
E01001605,1847.9
E01001701,6585.6
E01001615,3011.1
E01001617,2213.3
E01001642,1516
E01001688,7502.8
E01001574,1903.9
E01033743,1830.4
E01001613,2159.9
E01034198,4206.2
E01001682,1851.9
E01001684,947.4
E01034188,3948.5
E01001845,11648.6
E01001844,11009
E01001843,13670.7
E01001842,19024.8
E01001838,21625.5
E01001836,14279.2
E01001835,16366.1
E01001834,18170.3
E01001832,14362.7
E01001823,9821
E01001822,19642.9
E01001821,15473.1
E01001820,12959.9
E01001813,16963.2
E01001811,17641.5
E01001800,18962.3
E01001798,19124.6
E01001796,13932.5
E01001794,15043.1
E01001790,21960.1
E01001789,15118.9
E01001785,14668.9
E01001784,20421.1
E01001783,20390.2
E01001776,15246.1
E01001775,11678.5
E01001772,22420.1
E01001768,15752.2
E01001759,13860.3
E01001757,23306.6
E01001755,19852.7
E01001753,18032.1
E01001749,11718.3
E01001746,27393.1
E01001740,14543.4
E01001738,16937.4
E01001737,17407.8
E01001732,24374
E01001728,19541
E01001727,16710.4
E01001726,21581
E01001724,25704.5
E01001723,15406.1
E01001722,18656.6
E01001719,21713.8
E01001718,15351.3
E01001717,9989.8
E01001715,13542.5
E01033702,15614.4
E01033703,18562.7
E01033710,20945.6
E01035641,23379.7
E01035642,34247.8
E01035644,33431.4
E01035645,17488.6
E01035646,15704.2
E01035647,31566.6
E01035648,23308.1
E01035649,21897
E01001716,19078.5
E01001733,21527.9
E01001735,12226.4
E01001736,15139.4
E01001739,15069.5
E01001741,17399.3
E01001756,11972.9
E01001763,15506.4
E01001767,12502.4
E01001769,10323.9
E01001770,12957.5
E01001780,16043.8
E01001781,8572.4
E01001788,11222.7
E01001791,12324.7
E01001792,9292.2
E01001795,11428.6
E01001804,13637.2
E01001805,8358.2
E01001814,17605.3
E01001815,14069.7
E01001816,10440.2
E01001819,10323.3
E01001827,8973.8
E01001828,15917.3
E01001829,16595
E01001830,23129.8
E01001831,17190.6
E01001833,15460.8
E01001837,13904.8
E01001839,21096.7
E01001850,21012.7
E01033711,27756.2
E01035638,20627.6
E01035639,11476.4
E01035640,11836.3
E01035650,12023.2
E01001729,38518.8
E01001840,13407
E01001826,13182.6
E01001825,12881.4
E01001809,19710.8
E01001808,15968.5
E01001807,16629.7
E01001802,11087.8
E01001793,8719.6
E01001764,13764.3
E01001762,15952.2
E01001761,15942.2
E01001760,15440.7
E01001751,8764.6
E01001747,16706.5
E01001742,13464
E01001731,16989.6
E01001725,17293.9
E01001720,14632.2
E01033700,24309.1
E01033705,7153.6
E01035643,16608.4
E01001734,13936
E01001750,13854.6
E01001847,13159.9
E01001841,8824.8
E01001824,6292.9
E01001803,9405.6
E01001773,20303
E01001765,11670.6
E01001745,18841.4
E01001744,12546.3
E01001730,18602
E01001714,13470.7
E01033699,20605.1
E01033712,13832.4
E01001799,13594.3
E01001787,5843.5
E01033709,18918
E01033713,4520.4
E01001758,19558.9
E01001774,10783.8
E01001801,10812.5
E01001777,20188.2
E01033704,13379
E01001812,6825.9
E01001848,13911.6
E01033706,18763
E01001806,4658.7
E01001846,2326.3
E01033708,22462.9
E01001849,5848.3
E01001786,1687.5
E01001851,15469.2
E01001853,14610.7
E01001854,23227.3
E01001855,19609.4
E01001861,15472.7
E01001862,15426.7
E01001863,14108.4
E01001864,18384.9
E01001867,15307.5
E01001872,15686
E01001873,20776.7
E01001878,9243.9
E01001879,15621.9
E01001882,19213.2
E01001884,21301.1
E01001885,17808
E01001888,14816.3
E01001896,16178.6
E01001901,17005.9
E01001903,13164.1
E01001905,17386.2
E01001906,19760
E01001907,16018
E01001908,26319.4
E01001910,15274.3
E01001914,19865.5
E01001918,12356.3
E01001926,14646.8
E01001929,14876.9
E01001931,15897.1
E01001938,13717.2
E01001940,16593.1
E01001942,17696.4
E01001944,23256.2
E01001945,12734.4
E01001948,18772.8
E01001949,17599.5
E01001952,18329.9
E01001957,18969.8
E01001958,28527.5
E01001960,17208.4
E01001961,19687.9
E01032789,37133.3
E01001852,18370.9
E01001857,25099.2
E01001859,19654.5
E01001868,16739.1
E01001881,17338.6
E01001892,14866.4
E01001893,17153.7
E01001895,14936.7
E01001897,14214.4
E01001902,20234.2
E01001909,18202.5
E01001912,14056.9
E01001924,15162.6
E01001947,20671.5
E01001951,15618.3
E01001956,11126
E01032788,15038.8
E01001856,19963.7
E01001875,9182.9
E01001883,14931.9
E01001889,9164.3
E01001890,48666.7
E01001904,10411.1
E01001946,18058.3
E01001953,20920.9
E01032790,14391.8
E01001865,13122.3
E01001894,12308.7
E01001900,14805.6
E01001913,10825.7
E01001917,12186.3
E01001922,10419.3
E01001927,6097.8
E01001928,10005.3
E01001934,12178.2
E01001935,16839.7
E01001937,8748.7
E01001941,14913.3
E01001950,15593.7
E01001858,14334.9
E01001870,14980.2
E01001871,14794.2
E01001886,13668
E01001887,10753.7
E01001899,17020.1
E01001920,13276.7
E01001921,14613
E01001923,13259.7
E01001959,8869.4
E01035487,12797.5
E01001880,11900.6
E01001911,16831
E01001916,3940.8
E01001954,14891.4
E01001860,17488.4
E01001866,13039.4
E01001891,15086.2
E01001925,12494.7
E01001955,8987.7
E01035485,7820.7
E01035486,10757.9
E01001919,9691.7
E01001933,9989
E01001898,18694.6
E01001869,8704.8
E01001943,15470.3
E01001930,7061.4
E01001932,13153.5
E01001915,4568.5
E01001876,8099.9
E01001877,1962.8
E01035484,3629.4
E01001975,12668.9
E01001977,13348.1
E01001983,13296.6
E01002001,12231.6
E01002004,12535.8
E01002097,11098.8
E01002089,22435.3
E01002087,14012.2
E01002085,14222.2
E01002081,12904.4
E01002074,14441.9
E01002050,15215.8
E01002049,12145.7
E01002047,13788
E01002044,16378.9
E01002043,15096.4
E01002040,12160.7
E01002039,17655.6
E01002031,12533.9
E01002028,11658.3
E01002027,9745.5
E01033086,15804.3
E01033945,14815.8
E01033946,16271.8
E01001971,14609.9
E01001981,15940.4
E01001982,13881.8
E01001986,10258.7
E01002005,14010.6
E01002016,10710.1
E01002021,7239.9
E01002026,22395.9
E01002032,14093.1
E01002045,13225.6
E01002048,12224
E01002051,13444.9
E01002054,16948.1
E01002055,18244.5
E01002058,9372.2
E01002060,11775.5
E01002065,10872.5
E01002079,13257.1
E01002098,11858.1
E01002105,13371.5
E01033944,16644
E01002093,6856.6
E01002096,7211.1
E01002100,11075
E01002099,11005.1
E01002083,7907.7
E01002082,7272.7
E01002077,15499.6
E01002067,10698
E01002064,12915.3
E01002061,7787.7
E01002057,12194.2
E01002053,11041.2
E01002046,8866.6
E01002041,12421.4
E01002023,7512.3
E01002015,10024.8
E01002013,10314.3
E01002006,11833
E01001976,13870.7
E01001969,11506.9
E01001965,11627.5
E01002000,8584.7
E01002076,13539.2
E01002088,6821.9
E01002103,8777.6
E01002092,6637.6
E01002073,11711.7
E01002071,14322.8
E01002062,7691.5
E01002059,6219.1
E01002036,10816.3
E01002024,8077.4
E01002017,11146.8
E01001991,13086.1
E01001974,10902.9
E01001972,7573.3
E01002018,10123.5
E01002052,9555.9
E01002090,6669.6
E01002091,7147.7
E01002104,7990.6
E01002063,8757.1
E01002007,8033.4
E01001980,12563.2
E01001978,11921.3
E01032575,13342.5
E01001967,7495.7
E01001979,11915.2
E01002033,11343.6
E01002072,10038.5
E01002034,11305.7
E01002025,3287.4
E01001988,8811.6
E01001985,7789.6
E01002066,13395.9
E01002094,4327
E01001998,9832.6
E01001997,10718.4
E01001984,8142.2
E01001993,6349.4
E01002014,10247.3
E01002030,5576.3
E01002069,11972.4
E01002070,12526.3
E01002078,7008.8
E01001987,4887.2
E01001995,5498.7
E01001999,15607.9
E01002038,12319.9
E01001968,10042.5
E01001970,7701
E01001973,6590.1
E01001994,4667.8
E01002056,12594.3
E01002086,5502.5
E01002101,7501.2
E01001990,17328.9
E01002022,13428
E01002029,13286.6
E01002042,9030.7
E01001996,6477.1
E01002020,5041
E01001989,6209.9
E01001992,4068.9
E01002009,7158.5
E01002019,5742.7
E01002095,4816.6
E01002084,5646.5
E01001963,4049.3
E01002068,10659
E01002075,5599
E01002102,6027
E01001964,2272
E01002003,10725.6
E01033943,5762.9
E01001966,2883.5
E01002002,2423.6
E01002010,2998.7
E01001962,3234.7
E01002011,2508.5
E01002037,3656.6
E01002008,2903.3
E01002206,6053.7
E01034590,10945.3
E01034596,28595
E01034598,19111.6
E01034600,15172.7
E01002120,7120.3
E01002124,8815.5
E01002138,8427.5
E01002169,6303
E01002214,8172.3
E01002217,11376.6
E01002224,6632
E01002231,7871.4
E01002237,10993.7
E01034595,8945
E01034597,10531.6
E01002207,7276.7
E01002235,8627.1
E01002211,6668.6
E01002185,8407.9
E01002182,9336.7
E01002177,6591.6
E01002170,6054.9
E01002106,6253.7
E01034592,9600.3
E01034599,7812.7
E01002108,7208.7
E01002171,7418.8
E01002197,6019.4
E01002215,9132.2
E01002234,9561.5
E01002222,5667.1
E01002220,6689.5
E01002219,6554.1
E01002165,7184.5
E01002160,7733
E01002131,8254.3
E01002123,9068.7
E01002125,9929.2
E01002127,5794.6
E01002198,7686.1
E01002241,6757.3
E01002143,6875
E01034594,6383.4
E01002167,7979.3
E01002173,7229.4
E01002178,6129.7
E01002183,9409.2
E01002204,9663.1
E01002209,6794.1
E01002210,5989.3
E01002216,5537.8
E01002240,9608.1
E01002242,5787.9
E01002238,4895.2
E01002153,5842.8
E01002121,5497.3
E01002168,7235.3
E01002201,5145.1
E01002232,9472.7
E01002236,10600
E01002239,4683.7
E01034589,5932.6
E01034591,7275.3
E01002122,7463.3
E01002161,8184.1
E01002163,5361.1
E01002199,7198.1
E01002208,3794
E01032576,5910.7
E01002119,9722
E01002128,10453.8
E01002151,5533.7
E01002159,7074.7
E01002162,8442.6
E01002107,6024
E01002109,3716.6
E01002116,4221.1
E01002164,5882.1
E01002166,7708.3
E01002175,6207.6
E01002193,5616.8
E01002195,5156.1
E01002202,10507.1
E01002218,4156.2
E01002221,8489.5
E01002223,6782.7
E01002233,11000
E01002136,5405.6
E01002141,5636.6
E01002111,6508.8
E01002139,5544.6
E01002149,3641
E01002156,3270.4
E01002157,6233.9
E01002158,4016.1
E01002172,6575.2
E01002179,10094.3
E01002188,3072.4
E01002191,3562.2
E01002196,4420.3
E01002200,5551.7
E01002227,6280.2
E01002118,6962.6
E01002129,10762.7
E01002147,1837.9
E01002148,3534
E01002203,5941.9
E01002145,5138.6
E01002184,7422
E01002192,3640.4
E01002212,6328.2
E01002110,5872.7
E01002115,3453.4
E01002130,10656.2
E01002140,6175.1
E01002146,1557.4
E01002135,4666.2
E01002150,6463.5
E01002152,3040.1
E01002174,6177.9
E01002176,3863.1
E01002189,5592.8
E01002194,3637.4
E01002142,4745.2
E01002181,5246.9
E01002228,4240.4
E01002132,4727.5
E01002186,5727.4
E01002137,3517.7
E01002133,5073.5
E01002230,3469.8
E01002113,2752.2
E01002112,2249.5
E01002226,4906.5
E01034593,1278.9
E01002155,2427.7
E01002187,3702.4
E01002190,1073.7
E01002229,2758.1
E01002134,1515.9
E01002225,891.4
E01002114,1244.5
E01002144,545.6
E01002287,6253.9
E01002297,7030.4
E01033786,6657.1
E01033787,12506.9
E01002378,5458.7
E01002365,5171.2
E01002355,5277.7
E01002272,5365.9
E01002264,6464.2
E01033785,7764.8
E01002351,8517.4
E01002359,5357.9
E01002318,4824.2
E01002267,6944.4
E01033788,4784.3
E01002280,9217.1
E01002346,5707.4
E01002364,5106
E01002335,5793.3
E01002332,4874.6
E01002261,7570
E01002251,3970.5
E01002316,8571.4
E01002333,4412.1
E01002340,6331.5
E01002341,4767.4
E01002358,8173.4
E01002366,4980.5
E01002258,5153.1
E01002262,6182.8
E01002283,5731.9
E01002295,5864.8
E01002336,5176.2
E01002338,5260.6
E01002352,6521.4
E01002303,5888.9
E01002274,4610.9
E01002291,4080.6
E01002322,3403.6
E01002347,2599.3
E01002362,4690.9
E01002381,3558.7
E01002382,4988.9
E01002243,9068.6
E01002256,4282.6
E01002278,6029.9
E01002315,6839
E01002317,3178.7
E01002327,4201.4
E01002367,4309.5
E01002245,6077.6
E01002286,5331.1
E01002309,4962.3
E01002320,5724.8
E01002323,4480.3
E01002343,3085.4
E01002363,4838.7
E01002372,6185.7
E01032741,13587.3
E01002290,4456.8
E01002307,6038.6
E01002310,7444.9
E01002314,7508
E01002331,4179.9
E01002350,6839.5
E01002375,5942
E01002292,3896.4
E01002306,8078.2
E01002326,6402.2
E01002354,4192.2
E01002356,9923.3
E01002288,3794.1
E01002302,5705.8
E01002328,5090.8
E01002342,7389.4
E01002380,6125
E01002383,5049.6
E01002373,4927.8
E01002284,6434.8
E01002298,3947.1
E01002300,5169.1
E01002301,4693.7
E01002324,2848.4
E01002371,4985.8
E01002386,5303.1
E01002247,6601.4
E01002281,5179
E01002289,5662.7
E01002376,3622.7
E01032742,8951.3
E01002266,3813.5
E01002271,2400.7
E01002308,3287.7
E01002361,7789.1
E01002244,4224.7
E01002246,3561.7
E01002255,2066.4
E01002299,5561.1
E01002339,3661
E01002384,3546.2
E01002390,4011.8
E01002275,2520.3
E01002279,4208.6
E01002282,6867.6
E01002319,5448.8
E01002325,2474.6
E01002360,3470.9
E01002313,4326
E01002330,3029.1
E01002369,3400.2
E01002379,4443.5
E01002388,3930.7
E01033784,6035.6
E01002248,17097.8
E01002269,1901.7
E01002353,6477.5
E01002265,2438.4
E01002270,2107
E01002321,3876.3
E01002345,4858.7
E01002349,2110.5
E01002377,4694.3
E01002329,3898.8
E01002337,1237.5
E01002374,1504.5
E01002257,2147.3
E01002263,1635.9
E01002312,1596.2
E01002254,3154.3
E01002294,1135.7
E01002334,1450.4
E01002252,1123.8
E01002253,1429
E01002285,3176
E01002250,1595.7
E01002273,1674.1
E01002368,2596.8
E01002389,1775.1
E01002260,1338.2
E01002268,1988.4
E01002277,982.5
E01002311,1692
E01002387,1055
E01002259,772.8
E01002305,485.7
E01002348,449
E01002370,1346.3
E01002276,397.9
E01002296,391.9
E01002304,358.4
E01002391,203.6
E01002344,362.6
E01002385,179.4
E01034614,12671
E01002395,5930.6
E01002445,6969.4
E01002546,6738.1
E01034616,12627.3
E01002398,8511.3
E01002466,5995.7
E01002493,8672.3
E01002542,9796.7
E01034606,10638.4
E01034611,6375.2
E01002394,4458.4
E01002409,6611.6
E01002450,5116.3
E01002468,6451.8
E01002469,5495
E01002523,7777.8
E01002550,5363.6
E01002484,5178.6
E01002413,5406.2
E01002416,6626.3
E01002420,4444.1
E01002492,5140.5
E01002501,6941.6
E01002529,8836.6
E01002553,6847.9
E01002393,5749.8
E01002429,3159.5
E01002457,5978.9
E01002487,7579.8
E01002491,7548.5
